age,factor
0,84.599999999999994
1,83.700000000000003
2,82.799999999999997
3,81.799999999999997
4,80.799999999999997
5,79.799999999999997
6,78.799999999999997
7,77.900000000000006
8,76.900000000000006
9,75.900000000000006
10,74.900000000000006
11,73.900000000000006
12,72.900000000000006
13,71.900000000000006
14,70.900000000000006
15,69.900000000000006
16,69
17,68
18,67
19,66
20,65
21,64.099999999999994
22,63.100000000000001
23,62.100000000000001
24,61.100000000000001
25,60.200000000000003
26,59.200000000000003
27,58.200000000000003
28,57.299999999999997
29,56.299999999999997
30,55.299999999999997
31,54.399999999999999
32,53.399999999999999
33,52.5
34,51.5
35,50.5
36,49.600000000000001
37,48.600000000000001
38,47.700000000000003
39,46.700000000000003
40,45.700000000000003
41,44.799999999999997
42,43.799999999999997
43,42.899999999999999
44,41.899999999999999
45,41
46,40
47,39
48,38.100000000000001
49,37.100000000000001
50,36.200000000000003
51,35.299999999999997
52,34.299999999999997
53,33.399999999999999
54,32.5
55,31.600000000000001
56,30.600000000000001
57,29.800000000000001
58,28.899999999999999
59,28
60,27.100000000000001
61,26.199999999999999
62,25.399999999999999
63,24.5
64,23.699999999999999
65,22.899999999999999
66,22
67,21.199999999999999
68,20.399999999999999
69,19.600000000000001
70,18.800000000000001
71,18
72,17.199999999999999
73,16.399999999999999
74,15.6
75,14.800000000000001
76,14.1
77,13.300000000000001
78,12.6
79,11.9
80,11.199999999999999
81,10.5
82,9.9000000000000004
83,9.3000000000000007
84,8.6999999999999993
85,8.0999999999999996
86,7.5999999999999996
87,7.0999999999999996
88,6.5999999999999996
89,6.0999999999999996
90,5.7000000000000002
91,5.2999999999999998
92,4.9000000000000004
93,4.5999999999999996
94,4.2999999999999998
95,4
96,3.7000000000000002
97,3.3999999999999999
98,3.2000000000000002
99,3
100,2.7999999999999998
101,2.6000000000000001
102,2.5
103,2.2999999999999998
104,2.2000000000000002
105,2.1000000000000001
106,2.1000000000000001
107,2.1000000000000001
108,2
109,2
110,2
111,2
112,2
113,1.8999999999999999
114,1.8999999999999999
115,1.8
116,1.8
117,1.6000000000000001
118,1.3999999999999999
119,1.1000000000000001
120,1
1.00e+09,1
